,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,527779.946808048,51039.788440125,10.3405590606472,4.34492907765566e-19,0,117342.161463179,14301.6806493336,33292.076452046,64601.9536355361,527779.946808048,2605060004.01272,0,0,0,0,0,0.0285682666219882,0,0,0,0,0
dataB,410437.785344869,49562.3090864549,8.28124824912646,7.62523430586669e-14,-117342.161463179,0,-103040.480813846,-84050.0850111333,-52740.2078276432,410437.785344869,0,2456422481.98129,0,0,0,0,0,0.0269382403067077,0,0,0,0
dataC,513478.266158715,52716.0840753661,9.74044781901127,1.55504694634123e-17,-14301.6806493336,103040.480813846,0,18990.3958027124,50300.2729862025,513478.266158715,0,0,2778985520.24107,0,0,0,0,0,0.0304756125227831,0,0,0
dataD,494487.870356002,50571.2964555141,9.7780342805921,1.24418155903379e-17,-33292.076452046,84050.0850111333,-18990.3958027124,0,31309.8771834901,494487.870356002,0,0,0,2557456025.19149,0,0,0,0,0,0.0280462198525712,0,0
dataE,463177.993172512,51378.8564308195,9.01495333583711,1.11125507976275e-15,-64601.9536355361,52740.2078276432,-50300.2729862025,-31309.8771834901,0,463177.993172512,0,0,0,0,2639786888.13876,0,0,0,0,0,0.0289490973449411,0
dataF,0,48517.0170066874,0,1,-527779.946808048,-410437.785344869,-513478.266158715,-494487.870356002,-463177.993172512,0,0,0,0,0,0,2353900939.22719,0,0,0,0,0,0.025813942684624
