,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,460741.491469594,37616.7993977184,12.2482906267018,1.51170814158252e-28,0,-78523.6363006872,-49750.8384536282,-50715.6468848424,25572.4064136141,460741.491469594,1415023596.92818,0,0,0,0,0,0.000519722816939612,0,0,0,0,0
dataB,539265.127770281,37383.0108777658,14.4254064910277,1.09551574744534e-36,78523.6363006872,0,28772.797847059,27807.9894158447,104096.042714301,539265.127770281,0,1397489502.28716,0,0,0,0,0,0.00051328273418827,0,0,0,0
dataC,510492.329923222,36606.8171889903,13.9452803910184,7.3174641965517e-35,49750.8384536282,-28772.797847059,0,-964.808431214245,75323.2448672423,510492.329923222,0,0,1340059064.70816,0,0,0,0,0,0.000492189157472356,0,0,0
dataD,511457.138354437,37216.9632013545,13.7425811877048,4.27037341695952e-34,50715.6468848424,-27807.9894158447,964.808431214245,0,76288.0532984565,511457.138354437,0,0,0,1385102349.93097,0,0,0,0,0,0.000508733067503987,0,0
dataE,435169.08505598,36033.798570029,12.0766919482624,6.35964331443715e-28,-25572.4064136141,-104096.042714301,-75323.2448672423,-76288.0532984565,0,435169.08505598,0,0,0,0,1298434639.38543,0,0,0,0,0,0.000476900957594146,0
dataF,0,38532.0209088765,0,1,-460741.491469594,-539265.127770281,-510492.329923222,-511457.138354437,-435169.08505598,0,0,0,0,0,0,1484716635.32209,0,0,0,0,0,0.000545320313909835
