,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,602275.205100372,51367.790315651,11.7247637361747,2.48297747374933e-22,0,129597.820935408,73133.3479660268,42058.3913931076,40141.3733538487,602275.205100372,2638649881.91268,0,0,0,0,0,0.00114910283976364,0,0,0,0,0
dataB,472677.384164964,52802.1692445528,8.95185540532932,2.42470537949646e-15,-129597.820935408,0,-56464.4729693817,-87539.4295423008,-89456.4475815597,472677.384164964,0,2788069076.9304,0,0,0,0,0,0.00121417324659822,0,0,0,0
dataC,529141.857134346,50896.584673016,10.3964118719126,5.84653067824363e-19,-73133.3479660268,56464.4729693817,0,-31074.9565729192,-32991.9746121781,529141.857134346,0,0,2590462331.37749,0,0,0,0,0,0.00112811769446611,0,0,0
dataD,560216.813707265,51208.2142854449,10.9399794842387,2.44884517296438e-20,-42058.3913931076,87539.4295423008,31074.9565729192,0,-1917.0180392589,560216.813707265,0,0,0,2622281210.30404,0,0,0,0,0,0.00114197446431771,0,0
dataE,562133.831746524,52576.4493830163,10.6917419936712,1.04431594270705e-19,-40141.3733538487,89456.4475815597,32991.9746121781,1917.0180392589,0,562133.831746524,0,0,0,0,2764283029.72488,0,0,0,0,0,0.00120381468611697,0
dataF,0,53213.5089176642,0,1,-602275.205100372,-472677.384164964,-529141.857134346,-560216.813707265,-562133.831746524,0,0,0,0,0,0,2831677531.33033,0,0,0,0,0,0.00123316424617423
