,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,472361.623765617,66346.837150376,7.11958013454362,1.55769873863973e-10,0,-62188.3353457306,-39106.6567051632,30441.5408301719,-102609.403763261,472361.623765617,4401902799.85851,0,0,0,0,0,0.00148471835812725,0,0,0,0,0
dataB,534549.959111348,69151.0478629392,7.7301787265878,7.81138507213094e-12,62188.3353457306,0,23081.6786405674,92629.8761759025,-40421.0684175309,534549.959111348,0,4781867420.54251,0,0,0,0,0,0.00161287667361448,0,0,0,0
dataC,511468.280470781,67356.9003474447,7.59340584012168,1.53556002300045e-11,39106.6567051632,-23081.6786405674,0,69548.1975353352,-63502.7470580982,511468.280470781,0,0,4536952024.41559,0,0,0,0,0,0.00153026912834353,0,0,0
dataD,441920.082935445,68864.2146156732,6.41726745018111,4.42356796460107e-09,-30441.5408301719,-92629.8761759025,-69548.1975353352,0,-133050.944593433,441920.082935445,0,0,0,4742280054.63349,0,0,0,0,0,0.00159952424590597,0,0
dataE,574971.027528879,68311.1249975987,8.41694566659663,2.52663450744049e-13,102609.403763261,40421.0684175309,63502.7470580982,133050.944593433,0,574971.027528879,0,0,0,0,4666409798.43755,0,0,0,0,0,0.00157393395749397,0
dataF,0,65743.1510057287,0,1,-472361.623765617,-534549.959111348,-511468.280470781,-441920.082935445,-574971.027528879,0,0,0,0,0,0,4322161904.16204,0,0,0,0,0,0.00145782254122328
