,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,511878.645724685,13079.7407282212,39.1352287756164,2.01506000964578e-259,0,23635.3484784125,31717.5594275422,9784.88018057012,19273.2164836483,511878.645724685,171079617.517489,0,0,0,0,0,6.81450268906619e-05,0,0,0,0,0
dataB,488243.297246273,13246.0180293324,36.8596280153849,5.55941141590467e-236,-23635.3484784125,0,8082.21094912966,-13850.4682978424,-4362.13199476415,488243.297246273,0,175456993.633399,0,0,0,0,0,6.98886385345136e-05,0,0,0,0
dataC,480161.086297143,13166.0058499572,36.4697609714873,5.29811502352383e-232,-31717.5594275422,-8082.21094912966,0,-21932.679246972,-12444.3429438938,480161.086297143,0,0,173343710.041108,0,0,0,0,0,6.90468680810021e-05,0,0,0
dataD,502093.765544115,13224.9641100208,37.9656051515231,2.48747884927662e-247,-9784.88018057012,13850.4682978424,21932.679246972,0,9488.33630307822,502093.765544115,0,0,0,174899675.711339,0,0,0,0,0,6.96666457259226e-05,0,0
dataE,492605.429241037,13092.5448324348,37.6248800783697,7.96987764677162e-244,-19273.2164836483,4362.13199476415,12444.3429438938,-9488.33630307822,0,492605.429241037,0,0,0,0,171414730.189315,0,0,0,0,0,6.82785101329343e-05,0
dataF,0,13395.4781967973,0,1,-511878.645724685,-488243.297246273,-480161.086297143,-502093.765544115,-492605.429241037,0,0,0,0,0,0,179438836.120871,0,0,0,0,0,7.14746998509966e-05
