,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,282716,89187.0009217286,3.16992383506778,0.00388118607918587,0,-398447.375,-204755,-231288.5,-197052.4,282716,7954321133.41243,0,0,0,0,0,0.00455469576100493,0,0,0,0,0
dataB,681163.375,100122.329037734,6.8033113247224,3.20453048362587e-07,398447.375,0,193692.375,167158.875,201394.975,681163.375,0,10024480771.9403,0,0,0,0,0,0.00574008256800721,0,0,0,0
dataC,487471,97799.8953492585,4.98437138668877,3.50194591453526e-05,204755,-193692.375,0,-26533.4999999999,7702.60000000004,487471,0,0,9564819530.32591,0,0,0,0,0,0.00547687756615166,0,0,0
dataD,514004.5,101906.723899423,5.04387228174756,2.99326569757574e-05,231288.5,-167158.875,26533.4999999999,0,34236.0999999999,514004.5,0,0,0,10384980375.9132,0,0,0,0,0,0.00594650697437948,0,0
dataE,479768.4,93502.2071261044,5.13109171158865,2.37850810564654e-05,197052.4,-201394.975,-7702.60000000004,-34236.0999999999,0,479768.4,0,0,0,0,8742662737.45294,0,0,0,0,0,0.00500610526559036,0
dataF,0,88902.9728540823,0,1,-282716,-681163.375,-487471,-514004.5,-479768.4,0,0,0,0,0,0,7903738582.29369,0,0,0,0,0,0.00452573186486632
