,Estimate,Std. Error,t value,Pr(>|t|),diff.data_A,diff.data_B,diff.data_C,diff.data_D,diff.data_E,diff.data_F,cov.scaled.dataA,cov.scaled.dataB,cov.scaled.dataC,cov.scaled.dataD,cov.scaled.dataE,cov.scaled.dataF,cov.unscaled.dataA,cov.unscaled.dataB,cov.unscaled.dataC,cov.unscaled.dataD,cov.unscaled.dataE,cov.unscaled.dataF
dataA,490326.381072653,22374.0620618725,21.9149468575138,2.8284414197576e-84,0,-553.830139311613,9293.76862659666,3790.93518013938,-23523.1700107733,490326.381072653,500598653.148524,0,0,0,0,0,0.0265245106852389,0,0,0,0,0
dataB,490880.211211965,22843.0062542455,21.4892998648429,1.02763532056688e-81,553.830139311613,0,9847.59876590828,4344.76531945099,-22969.3398714617,490880.211211965,0,521802934.731501,0,0,0,0,0,0.0276480318730868,0,0,0,0
dataC,481032.612446056,22927.6724237549,20.9804381166781,1.1326196609973e-78,-9293.76862659666,-9847.59876590828,0,-5502.83344645728,-32816.93863737,481032.612446056,0,0,525678162.77101,0,0,0,0,0,0.0278533630838186,0,0,0
dataD,486535.445892514,23130.2251859398,21.0346177774467,5.38499241542181e-79,-3790.93518013938,-4344.76531945099,5502.83344645728,0,-27314.1051909127,486535.445892514,0,0,0,535007317.152282,0,0,0,0,0,0.0283476737526827,0,0
dataE,513849.551083426,23228.2473609055,22.1217530147481,1.59528801324177e-85,23523.1700107733,22969.3398714617,32816.93863737,27314.1051909127,0,513849.551083426,0,0,0,0,539551475.459412,0,0,0,0,0,0.0285884486225606,0
dataF,-3.637821535833e-12,22895.552201374,-1.5888769590867e-16,1,-490326.381072653,-490880.211211965,-481032.612446056,-486535.445892514,-513849.551083426,0,0,0,0,0,0,524206310.605842,0,0,0,0,0,0.027775376141112
